,時限,教室,回生
1010,金3,4共21,全回生
1011,金3,1共21,全回生
1012,金3,共東11,全回生
1013,金3,共東31,全回生
1014,金3,4共31,全回生
1015,金3,共北28,全回生
1016,金3,共西04,全回生
1017,金3,共北31,全回生
1018,金3,教育院棟講義室31,全回生
1019,金3,4共30,全回生
1020,金3,4共11,全回生
1021,金3,共南11,全回生
1022,金3,共北32,全回生
1023,金3,教育院棟講義室32,全回生
1024,金3,共北34,全回生
1025,金3,共南01,全回生
1026,金3,吉田国際交流会館南講義室4,全回生
1027,金3,共西42,２回生以上
1028,金3,情報メ201(遠隔講義室),２回生以上
1029,金3,総合研究2号館2階法科第一教室,２回生以上
1030,金3,共北37,２回生以上
1031,金3・金4,物理学実験室(2共),主として１回生
1032,金3・金4,化学実験室(2共),主として１回生
1033,金3,共東41,主として１回生
1034,金3・金4,生物実習室２(2共),主として１・２回生
1035,金3,共北12,全回生
1036,金3・金4,理系総合実習室(2共),主として１回生
1037,金3,共東22(CALL),全回生
1038,金3,共西03,１回生
1039,金3,1共22,１回生
1040,金3,1共04,１回生
1041,金3,共北33,１回生
1042,金3,教育院棟演習室21,１回生
1043,金3,共北3C,１回生
1044,金3,1共23,１回生
1045,金3,共北3D,１回生
1046,金3,教育院棟演習室22,１回生
1047,金3,4共14,１回生
1048,金3,共北35,１回生
1049,金3,4共24,１回生
1050,金3,共北3B,１回生
1051,金3,教育院棟演習室24,１回生
1052,金3,教育院棟演習室23,１回生
1053,金3,共北36,１回生
1054,金3,共北21(CALL),全回生
1055,金3,吉田国際交流会館南講義室5,全回生
1056,金3,4共13,全回生
1057,金3,共北23(CALL),全回生
1058,金3,4共32,全回生
1059,金3,1共25(LL),全回生
1060,金3,1共03,全回生
1061,金3,共西11,全回生
1062,金3,共西02,全回生
1063,金3,共西23,全回生
1064,金3,4共41,全回生
1065,金3,共東42,全回生
1066,金3,4共20,全回生
1067,金3,共北11,２回生以上
1068,金3,1共33,２回生以上
1069,金3,共西01,２回生以上
1070,金3,共西32,２回生以上
1071,金3,吉田国際交流会館南講義室2,全回生
1072,金3,吉田国際交流会館南講義室1,全回生
1073,金3,桂A1-131、宇治S143,大学院生
1074,金3,共北38,全回生
1075,金4,4共21,全回生
1076,金4,共東11,全回生
1077,金4,共東31,全回生
1078,金4,4共31,全回生
1079,金4,共北32,全回生
1080,金4,1共33,２回生以上
1081,金4,文学部校舎第2講義室,２回生以上
1082,金4,法経本館2階第八教室,２回生以上
1083,金4,共北37,２回生以上
1084,金4,理学部6号館809号室,主として２回生
1085,金4,情報メ地下講義室,主として２回生
1086,金4,1共03,１回生
1087,金4,4共14,１回生
1088,金4,1共32,１回生
1089,金4,共北36,１回生
1090,金4,4共24,１回生
1091,金4,共西12,１回生
1092,金4,情報メ301(CALL),１回生
1093,金4,共西23,１回生
1094,金4,共北31,全回生
1095,金4,共北21(CALL),全回生
1096,金4,共北23(CALL),全回生
1097,金4,共西03,全回生
1098,金4,共北11,全回生
1099,金4,共西22,全回生
1100,金4,1共25(LL),全回生
1101,金4,共東12,全回生
1102,金4,共北35,全回生
1103,金4,共西42,全回生
1104,金4,共西01,全回生
1105,金4,共西11,全回生
1106,金4,共東42,全回生
1107,金4,4共22,全回生
1108,金4,共西32,全回生
1109,金4,共西21,全回生
1110,金4,4共13,２回生以上
1111,金4,4共41,２回生以上
1112,金4,共北34,２回生以上
1113,金4,1共01,２回生以上
1114,金4,4共23,２回生以上
1115,金4,4共20,２回生以上
1116,金4・金5,1共22,全回生
1117,金4・金5,1共04,全回生
1118,金4・金5,吉田国際交流会館南講義室2,全回生
1119,金4・金5,吉田国際交流会館南講義室5,全回生
1120,金4,吉田国際交流会館南講義室1,全回生
1121,金5,教育院棟演習室24,全回生
1122,金5,1共23,全回生
1123,金5,教育院棟演習室21,全回生
1124,金5,4共21,全回生
1125,金5,共北3A,全回生
1126,金5,共北3B,全回生
1127,金5,共西23,２回生以上
1128,金5,理学部6号館301講義室,主として１回生
1129,金5,理学部6号館201講義室,全回生
1130,金5,共南11,主として１回生
1131,金5,4共11,全回生
1132,金5,共南01,全回生
1133,金5,共北38,全回生
1134,金5,共東22(CALL),２回生以上
1135,金5,共西03,全回生
1136,金5,共北35,全回生
1137,金5,共西11,全回生
1138,金5,共西01,全回生
1139,金5,情報メ301(CALL),全回生
1140,金5,1共03,全回生
1141,金5,共東42,全回生
1142,金5,4共20,全回生
1143,金5,4共23,全回生
1144,金5,4共22,全回生
1145,金5,共西21,全回生
1146,金5,共西22,２回生以上
1147,金5,1共01,２回生以上
1148,金5,共西32,２回生以上
1149,金5,吉田国際交流会館南講義室4,２回生以上
1150,金5,情報メ204(情報処理室),全回生
1151,金5,薬学部教育棟2階23講義室,主として１回生
1152,金5,教育推進・学生支援部棟多目的ホール,全回生
1153,金5,1共32,２回生以上
